slug	name	category	sheet	slot	description	use_when	icon_path
gallery-stack	图库	媒体创作	04-media-creative	10	三张叠放画片与山形墨线	图库、多图、作品集、相册	icons/gallery-stack.png
scan-frame	扫描	媒体创作	04-media-creative	11	四角扫描框围住纸面墨点	扫描、识别、取景、OCR	icons/scan-frame.png
caption-card	字幕卡	媒体创作	04-media-creative	12	画面卡下方带无字短条	字幕、说明文字、图注、标题区域	icons/caption-card.png
user-avatar	用户头像	人物社交	05-people-social	1	圆形头像剪影与淡墨状态点	个人、账户、用户资料	icons/user-avatar.png
team	团队	人物社交	05-people-social	2	三个人形淡墨叠在一起	团队、多人协作、群组	icons/team.png
handshake	握手	人物社交	05-people-social	3	两只手在墨色圆晕前相握	合作、达成一致、伙伴关系	icons/handshake.png
message	消息气泡	人物社交	05-people-social	4	两枚对话气泡交叠	聊天、评论、消息、客服	icons/message.png
profile-card	资料卡	人物社交	05-people-social	5	头像卡片与无字信息短线	资料、名片、成员信息	icons/profile-card.png
crown	皇冠	人物社交	05-people-social	6	墨线皇冠配金赭淡彩	管理员、主理人、精选身份	icons/crown.png
location-pin	定位	人物社交	05-people-social	7	地图针与小墨点轨迹	地点、附近、位置标记	icons/location-pin.png
globe	地球	人物社交	05-people-social	8	圆形地球与环绕墨线	全球、多语言、公开范围	icons/globe.png
community-circle	社区	人物社交	05-people-social	9	多枚头像点围成圆	社区、圈子、成员网络	icons/community-circle.png
mention-at	提及	人物社交	05-people-social	10	手绘 @ 形墨线与小气泡	提及、通知某人、用户名	icons/mention-at.png
heart	爱心	人物社交	05-people-social	11	一笔爱心与淡朱砂晕染	喜欢、收藏、情感化反馈	icons/heart.png
gift	礼物	人物社交	05-people-social	12	礼盒与飘带的水墨轮廓	奖励、福利、礼包、惊喜	icons/gift.png
wallet	钱包	商业工作	06-commerce-work	1	钱包与一枚半露出的圆币	钱包、余额、付款入口	icons/wallet.png
cart	购物车	商业工作	06-commerce-work	2	手绘购物车与两枚墨轮	购物、加入购物车、采购	icons/cart.png
credit-card	银行卡	商业工作	06-commerce-work	3	无字卡片与圆角墨线	支付、银行卡、订阅、结算	icons/credit-card.png
package-box	包裹	商业工作	06-commerce-work	4	纸箱包裹和淡墨胶带	包裹、物流、商品、交付	icons/package-box.png
chart-up	增长图	商业工作	06-commerce-work	5	上升折线穿过淡墨柱形	数据、增长、趋势、报表	icons/chart-up.png
target	目标	商业工作	06-commerce-work	6	靶心圆与一支短箭	目标、KPI、命中、聚焦	icons/target.png
briefcase	公文包	商业工作	06-commerce-work	7	小公文包与浅赭提手	工作、商务、项目、职业	icons/briefcase.png
ticket	票券	商业工作	06-commerce-work	8	撕边票券与圆孔	门票、凭证、活动入场	icons/ticket.png
coupon	优惠券	商业工作	06-commerce-work	9	带虚线边的折角券	优惠、折扣、兑换码、促销	icons/coupon.png
invoice	发票	商业工作	06-commerce-work	10	长票据与几道短墨线	发票、账单、报销、财务记录	icons/invoice.png
storefront	店铺	商业工作	06-commerce-work	11	小店门面与卷帘檐	店铺、市场、商家、服务点	icons/storefront.png
award-medal	奖章	商业工作	06-commerce-work	12	圆形奖章与短缎带	奖项、成就、认证、荣誉	icons/award-medal.png
clock	时钟	时间地点	07-time-place	1	圆形时钟与几道速度墨线	时间、截止、提醒	icons/clock.png
hourglass	沙漏	时间地点	07-time-place	2	沙漏和落下的墨砂点	等待、倒计时、耗时	icons/hourglass.png
map	地图	时间地点	07-time-place	3	折叠地图与一条路线墨线	路线、导航、旅程	icons/map.png
home	首页房子	时间地点	07-time-place	4	小房子与淡墨屋顶	首页、住所、本地入口	icons/home.png
flag	旗帜	时间地点	07-time-place	5	旗帜插在小墨丘上	目标、里程碑、标记点	icons/flag.png
pin	图钉	时间地点	07-time-place	6	图钉扎住一张淡彩纸	固定、置顶、标记重要	icons/pin.png
compass	指南针	时间地点	07-time-place	7	指南针和方向针笔触	探索、导航、发现方向	icons/compass.png
rocket	火箭	时间地点	07-time-place	8	火箭冲出一团淡墨烟	启动、发布、快速前进	icons/rocket.png
sunrise	日出	时间地点	07-time-place	9	地平线上升起朱砂小日	早晨、开始、新一天、希望	icons/sunrise.png
moon	月亮	时间地点	07-time-place	10	弯月与几枚淡墨星点	夜间、安静模式、晚间场景	icons/moon.png
route-path	路径	时间地点	07-time-place	11	弯曲路径连接两枚位置点	路线、流程、行程、路径规划	icons/route-path.png
train	列车	时间地点	07-time-place	12	简化列车头与两道轨迹线	交通、通勤、车票、出行	icons/train.png
cloud	云	自然装饰	08-nature-decor	1	云形淡墨团与留白边缘	天气、云端、柔和背景	icons/cloud.png
leaf	叶子	自然装饰	08-nature-decor	2	一片青绿淡彩叶和墨脉	自然、健康、环保、生长	icons/leaf.png
mountain	山	自然装饰	08-nature-decor	3	两重山形浓淡墨块	山、稳定、远景、探索	icons/mountain.png
water-drop	水滴	自然装饰	08-nature-decor	4	透明感水滴与墨色边线	水、清洁、湿度、流动	icons/water-drop.png
flame	火焰	自然装饰	08-nature-decor	5	朱砂火苗与黑色外轮廓	热度、能量、热门、燃烧	icons/flame.png
flower	花	自然装饰	08-nature-decor	6	五瓣小花与淡粉晕染	美好、柔和、春天、装饰	icons/flower.png
wave	波浪	自然装饰	08-nature-decor	7	一段飞白水波和小水点	流动、柔和、过渡装饰	icons/wave.png
circle-ring	圆环	自然装饰	08-nature-decor	8	不规则墨圈与一枚朱砂点	焦点、高亮、背景层次	icons/circle-ring.png
dot-cluster	点阵	自然装饰	08-nature-decor	9	浓淡不一的墨点聚落	背景点缀、弱装饰、节奏填充	icons/dot-cluster.png
ribbon	飘带	自然装饰	08-nature-decor	10	水墨飘带带一抹靛蓝	庆祝、引导、装饰、视觉动线	icons/ribbon.png
seal-stamp	印章	自然装饰	08-nature-decor	11	方形朱砂印章，无可读文字	品牌点缀、确认、东方风格装饰	icons/seal-stamp.png
ink-splash	墨花	自然装饰	08-nature-decor	12	一团可控墨花与飞散小点	装饰、强调、背景层次、情绪表达	icons/ink-splash.png
mail-envelope	邮件	知识沟通	09-knowledge-comm	1	宣纸信封与一枚淡朱砂封点	邮件、私信、收件、联系	icons/mail-envelope.png
inbox-tray	收件箱	知识沟通	09-knowledge-comm	2	浅墨托盘接住一张纸页	收件箱、待处理、归入、入口	icons/inbox-tray.png
announcement-board	公告板	知识沟通	09-knowledge-comm	3	纸质公告牌被两枚墨钉固定	公告、通知栏、活动信息	icons/announcement-board.png
book-open	打开的书	知识沟通	09-knowledge-comm	4	摊开的宣纸书页与淡墨页脊	阅读、教程、知识、文档入口	icons/book-open.png
graduation-cap	学士帽	知识沟通	09-knowledge-comm	5	墨线学士帽与小流苏	学习、课程、教育、成长	icons/graduation-cap.png
lightbulb	灯泡灵感	知识沟通	09-knowledge-comm	6	灯泡里有淡金墨晕和小星点	灵感、想法、提示、创意	icons/lightbulb.png
newspaper	报纸	知识沟通	09-knowledge-comm	7	折叠报纸与无字短线	新闻、资讯、更新、公告摘要	icons/newspaper.png
library-shelf	书架	知识沟通	09-knowledge-comm	8	几本竖书靠在浅墨架上	资料库、合集、学习资源	icons/library-shelf.png
pen-nib	钢笔尖	知识沟通	09-knowledge-comm	9	钢笔尖与一滴墨	写作、签名、创作、输入	icons/pen-nib.png
quote-marks	引用	知识沟通	09-knowledge-comm	10	两枚大号手绘引号与淡墨圈	引用、摘录、评论、语录	icons/quote-marks.png
language-bubbles	语言气泡	知识沟通	09-knowledge-comm	11	两枚重叠气泡分别带抽象笔画	翻译、多语言、交流、语言设置	icons/language-bubbles.png
mind-map	思维导图	知识沟通	09-knowledge-comm	12	中心墨点连出多个小节点	脑图、关联、知识结构、规划	icons/mind-map.png
puzzle-piece	拼图	知识沟通	09-knowledge-comm	13	一块淡墨拼图片	模块、组合、缺失部分、谜题	icons/puzzle-piece.png
certificate-scroll	证书卷轴	知识沟通	09-knowledge-comm	14	卷轴证书与无字朱砂印	证书、完成课程、资质、证明	icons/certificate-scroll.png
idea-spark	灵光	知识沟通	09-knowledge-comm	15	一束小火花从墨点上弹出	灵感一闪、亮点、推荐想法	icons/idea-spark.png
collection-drawer	资料抽屉	知识沟通	09-knowledge-comm	16	小抽屉里露出几张纸片	收藏夹、资料收纳、归类	icons/collection-drawer.png
key	钥匙	安全权限	10-security-access	1	老式钥匙与淡墨尾迹	钥匙、访问、解锁、凭证	icons/key.png
fingerprint	指纹	安全权限	10-security-access	2	几圈干笔纹形成指纹	指纹、身份验证、生物识别	icons/fingerprint.png
face-id	人脸识别	安全权限	10-security-access	3	人脸轮廓被四角识别框围住	人脸识别、登录验证、身份确认	icons/face-id.png
password-dots	密码点	安全权限	10-security-access	4	一排圆点藏在小输入框中	密码、PIN、隐藏输入	icons/password-dots.png
shield-alert	盾牌警示	安全权限	10-security-access	5	盾形墨片上有小赭黄警示	风险、安全警告、异常保护	icons/shield-alert.png
privacy-eye	可见眼睛	安全权限	10-security-access	6	单只墨线眼睛与柔和瞳点	可见、查看、隐私状态	icons/privacy-eye.png
hidden-eye	隐藏眼睛	安全权限	10-security-access	7	眼睛被一笔斜墨线划过	隐藏、不可见、关闭显示	icons/hidden-eye.png
safe-box	保险箱	安全权限	10-security-access	8	小保险箱与圆形旋钮	保管、保险箱、敏感内容	icons/safe-box.png
id-card	身份卡	安全权限	10-security-access	9	无字身份卡带头像圆点	身份、实名、证件、资料卡	icons/id-card.png
login-door	登录门	安全权限	10-security-access	10	门框内有向内箭头	登录、进入、授权入口	icons/login-door.png
logout-door	退出门	安全权限	10-security-access	11	门框旁有向外箭头	退出、登出、离开账户	icons/logout-door.png
permission-badge	权限徽章	安全权限	10-security-access	12	小徽章叠在纸质开关旁	权限、角色、授权范围	icons/permission-badge.png
encrypted-file	加密文件	安全权限	10-security-access	13	文件页上压着小锁	加密、受保护文件、私密资料	icons/encrypted-file.png
token-key	令牌钥匙	安全权限	10-security-access	14	小令牌牌子连着短钥匙	令牌、验证码、临时凭证	icons/token-key.png
firewall-wall	防火墙	安全权限	10-security-access	15	几块墨砖墙挡住小火花	防火墙、阻挡、访问控制	icons/firewall-wall.png
backup-vault	备份库	安全权限	10-security-access	16	圆顶仓库里叠着纸页	备份、安全副本、恢复点	icons/backup-vault.png
smartphone	手机	设备工具	11-devices-tools	1	竖向手机与淡墨屏幕	手机、移动端、设备预览	icons/smartphone.png
tablet	平板	设备工具	11-devices-tools	2	横向平板与圆角墨框	平板、大屏设备、阅读设备	icons/tablet.png
laptop	笔记本电脑	设备工具	11-devices-tools	3	打开的笔记本与淡墨键盘	笔记本、办公、网页端	icons/laptop.png
desktop-monitor	显示器	设备工具	11-devices-tools	4	桌面显示器与短支架	桌面端、监控屏、后台	icons/desktop-monitor.png
smartwatch	手表	设备工具	11-devices-tools	5	智能手表与圆角表盘	手表、穿戴设备、提醒	icons/smartwatch.png
headphones	耳机	设备工具	11-devices-tools	6	头戴耳机与两道声波	耳机、收听、音频设备	icons/headphones.png
speaker	扬声器	设备工具	11-devices-tools	7	小音箱发出墨线声波	播放、声音、音量、扬声器	icons/speaker.png
printer	打印机	设备工具	11-devices-tools	8	打印机吐出一张无字纸	打印、输出、纸质文件	icons/printer.png
scanner-device	扫描仪	设备工具	11-devices-tools	9	扁平扫描仪扫过纸页	扫描仪、扫描文件、录入	icons/scanner-device.png
keyboard	键盘	设备工具	11-devices-tools	10	简化键盘与几枚方键	键盘、输入、快捷操作	icons/keyboard.png
mouse-device	鼠标	设备工具	11-devices-tools	11	鼠标与一笔连接线	鼠标、点击、指针设备	icons/mouse-device.png
gamepad	手柄	设备工具	11-devices-tools	12	游戏手柄与圆点按钮	游戏、控制器、娱乐	icons/gamepad.png
battery	电池	设备工具	11-devices-tools	13	电池框里有淡绿电量	电量、续航、充电状态	icons/battery.png
wifi-signal	无线网络	设备工具	11-devices-tools	14	三段无线墨弧围住一点	Wi-Fi、网络、连接状态	icons/wifi-signal.png
bluetooth-mark	蓝牙	设备工具	11-devices-tools	15	抽象蓝牙符号与靛蓝墨迹	蓝牙、近场连接、配对	icons/bluetooth-mark.png
usb-drive	U盘	设备工具	11-devices-tools	16	U 盘与小接口墨线	外接存储、导入导出、设备连接	icons/usb-drive.png
tea-cup	茶杯	生活健康	12-life-health	1	热茶杯与几缕淡墨蒸汽	茶、休息、放松、慢下来	icons/tea-cup.png
coffee-cup	咖啡杯	生活健康	12-life-health	2	外带杯与温暖赭色杯套	咖啡、提神、饮品	icons/coffee-cup.png
bowl	碗	生活健康	12-life-health	3	小碗与筷子形短线	餐食、吃饭、食物	icons/bowl.png
apple-fruit	苹果	生活健康	12-life-health	4	青绿苹果与一片叶	健康、饮食、水果	icons/apple-fruit.png
medicine-pill	药丸	生活健康	12-life-health	5	两枚胶囊药丸与小墨点	药物、用药、治疗提醒	icons/medicine-pill.png
first-aid	急救箱	生活健康	12-life-health	6	急救箱与简化十字	急救、医疗、健康安全	icons/first-aid.png
heartbeat-line	心率线	生活健康	12-life-health	7	心形旁穿过一条心率笔线	心率、健康状态、生命力	icons/heartbeat-line.png
yoga-mat	瑜伽垫	生活健康	12-life-health	8	卷起的垫子与柔和墨影	瑜伽、伸展、运动放松	icons/yoga-mat.png
sleep-pillow	枕头	生活健康	12-life-health	9	柔软枕头与小月牙	睡眠、休息、晚安	icons/sleep-pillow.png
running-shoe	跑鞋	生活健康	12-life-health	10	跑鞋带一笔速度线	跑步、运动、步行	icons/running-shoe.png
umbrella	雨伞	生活健康	12-life-health	11	半开雨伞与几滴墨雨	天气、保护、雨天	icons/umbrella.png
laundry	洗衣	生活健康	12-life-health	12	洗衣机圆窗里有水波	洗衣、家务、清洁	icons/laundry.png
plant-pot	盆栽	生活健康	12-life-health	13	小盆栽长出两片叶	植物、养成、生活装饰	icons/plant-pot.png
sofa	沙发	生活健康	12-life-health	14	小沙发与淡墨靠垫	居家、休息、客厅	icons/sofa.png
bed	床	生活健康	12-life-health	15	简化床铺与小枕头	睡觉、卧室、休息	icons/bed.png
bath-tub	浴缸	生活健康	12-life-health	16	浴缸与一团水汽	洗澡、清洁、放松	icons/bath-tub.png
dashboard-gauge	仪表盘	数据系统	13-data-system	1	半圆仪表盘与指针	仪表盘、概览、状态监控	icons/dashboard-gauge.png
pie-chart	饼图	数据系统	13-data-system	2	圆形饼图分出淡彩扇区	占比、统计、数据概览	icons/pie-chart.png
bar-chart	柱状图	数据系统	13-data-system	3	三根墨色柱与上升点	柱状图、对比、报表	icons/bar-chart.png
line-chart	折线图	数据系统	13-data-system	4	折线穿过几个数据点	趋势、走势、数据分析	icons/line-chart.png
table-grid	表格	数据系统	13-data-system	5	方格表格与淡墨边框	表格、清单数据、矩阵	icons/table-grid.png
database-stack	数据库	数据系统	13-data-system	6	三层圆柱数据堆叠	数据库、数据源、存储	icons/database-stack.png
server-rack	服务器	数据系统	13-data-system	7	竖向服务器机柜与小灯点	服务器、机房、服务端	icons/server-rack.png
data-cloud	数据云	数据系统	13-data-system	8	云朵里有小数据节点	云数据、同步存储、云服务	icons/data-cloud.png
workflow-nodes	流程节点	数据系统	13-data-system	9	多个节点由墨线连接	工作流、自动化、流程编排	icons/workflow-nodes.png
timeline	时间线	数据系统	13-data-system	10	横线串起几个节点圆点	时间线、版本、进度记录	icons/timeline.png
kanban-board	看板	数据系统	13-data-system	11	三列小卡片贴在板上	看板、任务状态、项目管理	icons/kanban-board.png
notification-bell	通知铃	数据系统	13-data-system	12	铃铛带两道震动墨线	通知、提醒、消息入口	icons/notification-bell.png
star-rating	星级	数据系统	13-data-system	13	主星星旁带几枚小点	评分、推荐、精选	icons/star-rating.png
trophy-cup	奖杯	数据系统	13-data-system	14	奖杯与淡金墨晕	冠军、成就、排名	icons/trophy-cup.png
slider-controls	滑杆控制	数据系统	13-data-system	15	三条横向滑杆和圆形旋钮	筛选控制、调节、参数设置	icons/slider-controls.png
layers-stack	图层	数据系统	13-data-system	16	三层纸片错位叠放	图层、层级、组合视图	icons/layers-stack.png
