slug	name	category	sheet	slot	description	use_when	text_zone	safe_padding	layer_role	component_path
safe-table-shell	文字安全表格壳	数据承载	06-data	3	表格容器外壳，不预画密集文本线	数据表、后台列表、记录页	x=10%,y=12%,w=80%,h=76%	30px	background-shell	components/safe-table-shell.png
safe-dashboard-panel	文字安全看板面板	数据承载	06-data	4	仪表盘区域大壳，边缘有淡墨层次	看板区、分析页、管理后台	x=10%,y=12%,w=80%,h=76%	32px	background-shell	components/safe-dashboard-panel.png
safe-article-shell	文字安全文章卡壳	内容承载	07-content	1	文章卡外壳，左侧媒体位和右侧正文区留白	博客卡、新闻卡、课程卡	x=38%,y=16%,w=50%,h=68%	24px	background-shell	components/safe-article-shell.png
safe-media-caption-frame	文字安全图文框	内容承载	07-content	2	图片框和标题说明区分离，文字区少纹理	作品展示、图片说明、案例卡	x=12%,y=64%,w=76%,h=24%	18px	background-shell	components/safe-media-caption-frame.png
safe-profile-shell	文字安全资料卡壳	内容承载	07-content	3	头像位和资料文字区明确分开	个人资料、作者卡、团队成员	x=34%,y=18%,w=54%,h=62%	22px	background-shell	components/safe-profile-shell.png
safe-pricing-shell	文字安全价格卡壳	内容承载	07-content	4	价格卡骨架，真实价格与功能项由 HTML 排版	价格方案、会员套餐、订阅页	x=14%,y=14%,w=72%,h=72%	28px	background-shell	components/safe-pricing-shell.png
safe-toast-shell	文字安全通知壳	反馈承载	08-feedback	1	通知条外壳，左侧状态点，文字区清爽	Toast、保存提示、轻反馈	x=20%,y=26%,w=68%,h=48%	16px	background-shell	components/safe-toast-shell.png
safe-alert-band	文字安全提醒横幅	反馈承载	08-feedback	2	提醒横幅外壳，强调边在外侧	公告、错误提示、信息提示	x=16%,y=22%,w=72%,h=56%	22px	background-shell	components/safe-alert-band.png
safe-empty-state-shell	文字安全空状态壳	反馈承载	08-feedback	3	空状态背景壳，上方图标位下方文字区干净	空列表、无搜索结果、欢迎态	x=16%,y=46%,w=68%,h=36%	24px	background-shell	components/safe-empty-state-shell.png
safe-progress-rail	文字安全进度轨	反馈承载	08-feedback	4	进度节点轨道，不遮挡步骤文字	步骤条、进度、流程导航	x=12%,y=30%,w=76%,h=40%	18px	accent-frame	components/safe-progress-rail.png
safe-brush-underline	文字安全飞白下划线	文字装饰	09-text-decor	1	可放在标题下方的飞白下划线	标题强调、链接 hover、章节线	x=12%,y=36%,w=76%,h=28%	8px	accent	components/safe-brush-underline.png
safe-corner-brackets	文字安全角括框	文字装饰	09-text-decor	2	四角水墨括号框，中间完全透明	引用、重点文本、图片/代码框	x=14%,y=16%,w=72%,h=68%	18px	overlay-frame	components/safe-corner-brackets.png
safe-margin-seal-slot	文字安全页边印章位	文字装饰	09-text-decor	3	小印章位和边注点，主体区留空	页边标签、章节编号、角标	x=20%,y=20%,w=56%,h=56%	10px	accent	components/safe-margin-seal-slot.png
safe-ink-backdrop	文字安全淡墨背影	文字装饰	09-text-decor	4	极淡墨色背景晕染，中心低干扰	标题背景、Hero 氛围、空状态背景	x=18%,y=22%,w=64%,h=56%	20px	background-accent	components/safe-ink-backdrop.png
safe-phone-frame	文字安全手机框	移动承载	10-mobile-text	1	移动端手机外框，屏内留白	手机预览、App 展示、移动原型	x=18%,y=12%,w=64%,h=76%	24px	overlay-frame	components/safe-phone-frame.png
safe-mobile-card-shell	文字安全移动卡片壳	移动承载	10-mobile-text	2	窄屏卡片壳，适合真实移动文案	移动卡片、设置块、列表卡	x=14%,y=14%,w=72%,h=72%	22px	background-shell	components/safe-mobile-card-shell.png
safe-bottom-bar-shell	文字安全底栏壳	移动承载	10-mobile-text	3	移动底栏背景壳，图标和文字由前端放置	底部导航、移动 TabBar	x=12%,y=30%,w=76%,h=40%	12px	background-shell	components/safe-bottom-bar-shell.png
safe-chat-bubble-shell	文字安全聊天气泡壳	移动承载	10-mobile-text	4	聊天气泡外壳，内部不含占位线	聊天、评论、对话展示	x=16%,y=20%,w=68%,h=60%	18px	background-shell	components/safe-chat-bubble-shell.png
